Day,Exercise,Sets,Reps,RPE,Focus/Tempo
Понеделник,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Възстановяване, подпомагане на кръвообращението и изгарянето на мазнини по време на 42-часовия глад. Интензивност: Ниска, трябва да можете да водите разговор без задъхване."
Понеделник,Активна почивка,N/A,"30-60 минути",N/A,"Разходка с леко до умерено темпо на открито или на пътека."
Вторник,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Максимално изчерпване на мускулния гликоген чрез висок обем. Инструкции: Почивка между сериите 45-60 секунди. Движете се в зоната RPE 9-10 (близо до или до мускулен отказ)."
Вторник,1. Клекове с дъмбел (Goblet Squats),4,15-20,9,"Дръжте дъмбела плътно до гърдите, лактите сочат надолу. Спускайте се дълбоко и контролирано. Това е основното ви движение за обем."
Вторник,2. Лег преса (Leg Press),4,15-20,10,"Поставете краката на широчината на раменете. Спускайте бавно и избутвайте експлозивно, без да заключвате коленете в горна позиция."
Вторник,3. Бедрено разгъване (Leg Extensions),3,12-15,10,"Изолирайте квадрицепсите. В горна позиция стегнете мускула за секунда, преди да започнете бавното спускане."
Вторник,4. Бедрено сгъване (Lying Leg Curls),3,12-15,10,"Фокусирайте се върху връзката ум-мускул със задното бедро. Движението трябва да е плавно, без да използвате инерция от кръста."
Вторник,5. Румънска мъртва тяга с дъмбели (Dumbbell RDL),3,12-15,9,"С леко свити колене, избутайте таза назад, докато усетите максимално разтягане в задното бедро. Дръжте гърба изправен."
Вторник,6. Повдигане на пръсти за прасец (Calf Raises),4,20-25,10,"Направете пълно разтягане в долна позиция и задръжте за секунда в най-горната точка на пръсти."
Вторник,7. ПЛАНК (Plank) - Финишър за корем,3,До отказ,10,"Дръжте тялото в идеално права линия от раменете до петите. Стегнете корема и седалището. Не позволявайте на таза да пропада."
Сряда,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Стимулиране на гърдите, раменете и трицепсите. Инструкции: Фокус върху Време под напрежение (TUT). Темпо: 3-1-1-0. Почивка между сериите 60-75 секунди."
Сряда,1. Избутване на дъмбели от хоризонтален лег,4,8-12,8-9,"Темпо: 3-1-1-0. Контролирайте спускането за 3 секунди. В долна позиция усетете разтягането в гърдите, преди да избутате експлозивно."
Сряда,2. Избутване на дъмбели от полулег,3,10-12,9,"Темпо: 3-1-1-0. Наклон около 30-45 градуса. Фокусирайте се върху горната част на гърдите. Лактите трябва да са леко прибрани."
Сряда,3. Раменни преси с дъмбели от седеж,3,10-12,9,"Темпо: 3-1-1-0. Дръжте гърба изправен. Спускайте дъмбелите до нивото на ушите и избутвайте нагоре, без да ги удряте."
Сряда,4. Странично повдигане на ръце с дъмбели,3,12-15,9-10,"Водете движението с лактите, не с китките. Представете си, че изливате две кани с вода. Това е за средното рамо."
Сряда,5. Трицепсово разгъване на горен скрипец с въже,3,10-12,9,"Дръжте лактите плътно до тялото. В долна позиция разтворете въжето встрани, за да активирате максимално трицепса."
Сряда,6. Трицепсово разгъване над глава с въже,3,12-15,10,"Това упражнение натоварва дългата глава на трицепса. Разтегнете напълно и се концентрирайте върху пълното съкращение."
Сряда,7. РАЗГЪВАНЕ НА КОЛЕЛЦЕ (Ab Wheel Rollout) - Финишър за корем,3,8-12,9,"Контролирайте движението бавно напред от колене, докъдето можете, без да извивате кръста. Използвайте корема, за да се върнете обратно."
Четвъртък,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Стимулиране на гърба и бицепсите. Инструкции: Фокус върху Време под напрежение (TUT). Темпо: 3-1-1-0. Почивка между сериите 60-75 секунди."
Четвъртък,1. Вертикален скрипец с широк хват,4,10-12,8-9,"Темпо: 3-1-1-0. Мислете как дърпате с лактите, а не с ръцете. В долна позиция съберете лопатките силно. Контролирайте тежестта по целия път нагоре."
Четвъртък,2. Гребане на долен скрипец с V-ръкохватка,4,10-12,9,"Темпо: 3-1-1-0. Дръжте гърдите изпъчени и гърба изправен. Дърпайте ръкохватката към долната част на корема."
Четвъртък,3. Гребане с дъмбел с една ръка,3,8-10,9,"Разтегнете максимално в долна позиция и дърпайте дъмбела по дъга към таза, а не право нагоре. Това ще активира максимално широкия гръбен мускул (лата)."
Четвъртък,4. Придърпване на въже към лицето (Face Pulls),3,15-20,8,"Критично за здравето на раменете и горната част на гърба. Дърпайте към лицето, като в крайна позиция ръцете ви са в позиция ""двоен бицепс""."
Четвъртък,5. Изолирано сгъване за бицепс от наклон,3,10-12,9-10,"Наклон на пейката около 60-75 градуса. Това поставя бицепса в постоянно напрежение и разтягане. Оставете лактите да сочат към пода и сгъвайте само с бицепсите."
Четвъртък,6. Чуково сгъване с дъмбели,3,10-12,9-10,"Натоварва брахиалиса и предмишницата, добавяйки ""плътност"" на ръката. Движението трябва да е стриктно, без залюляване."
Четвъртък,7. ПОВДИГАНЕ НА КРАКА ОТ ВИС (Toes to Bar) - Финишър за корем,3,До отказ,10,"Ако пълният обхват е труден, правете повдигане на колене към гърди (Knees to Chest). Избягвайте залюляването."
Петък,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Активно възстановяване, подобряване на сърдечно-съдовата система и изгаряне на мазнини при нисък стрес върху ставите. Инструкции: Ниска до умерена интензивност, постоянно темпо (LISS). Фокусирайте се върху техниката на дишане и плавността на движенията."
Петък,Леко към умерено плуване,N/A,"30-45 минути",N/A,""
Събота,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Максимално изгаряне на калории, подобряване на анаеробния капацитет и метаболитен стрес. Инструкции: Интервална тренировка (HIIT). Загрявка 5-10 мин, след това редуване на 1 дължина спринт (~90% усилие) с 2 дължини много бавно, възстановително плуване. Разпускане 5 мин."
Събота,Интензивно плуване (Интервали),N/A,"15-20 минути",N/A,""
Неделя,ЦЕЛ И ИНСТРУКЦИИ ЗА ДЕНЯ,,,,"Цел: Финално изчерпване на гликогена преди глада. Инструкции: Кръгова тренировка. Изпълнявайте упражненията едно след друго с 15-20 сек. почивка. След края на кръга, починете 90-120 сек. Направете общо 3-4 кръга."
Неделя,1. Клекове с дъмбел (Goblet Squats) - Кръгова,3-4,12-15,8,"Дръжте темпото високо, но с добра форма. Това е за краката и ядрото."
Неделя,2. Лицеви опори (Push-ups) - Кръгова,3-4,До отказ,10,"Ако са твърде лесни, вдигнете краката на пейка. Ако са трудни, правете ги от колене."
Неделя,3. Гребане с дъмбели от наклон (Bent-Over Rows) - Кръгова,3-4,12-15,8-9,"Дръжте гърба изправен. Дърпайте дъмбелите към таза, като събирате лопатките."
Неделя,4. Раменни преси с дъмбели в стоеж - Кръгова,3-4,10-12,9,"Използвайте краката за лек начален тласък (Push Press), за да поддържате интензивността."
Неделя,5. Суингове с дъмбел/пудовка (Swings) - Кръгова,3-4,20-25,9,"Това е метаболитният ви финишър. Движението идва от таза, не от ръцете. Стегнете корема и седалището."
Неделя,СГЪВАНЕ НА КОРЕМ НА СКРИПЕЦ (Cable Crunches) - Финишър за корем,3,12-15,9-10,"Изпълнява се СЛЕД края на всички кръгове. Използвайте въже. Фокусирайте се върху сгъването на торса, като доближавате ребрата към таза. Не дърпайте с ръце."